phase,nist,lambda,q_log,hash,ext_e,air,ldt,k,b,r,prove_ms,verify_ms,proof_kib,n_trace,threads,note
1,5,256,40,sha3-512,8,mldsa_v2,fri,2,16,128,54939,1025.58,141236.9,NA,10,
1,5,256,65,sha3-512,8,ecdsa,fri,2,4,256,849,4.87,996.8,8,10,
1,5,256,65,sha3-512,8,ecdsa,fri,2,8,171,1647,3.91,765.1,8,10,
1,5,256,65,sha3-512,8,ecdsa,fri,2,16,128,3283,3.50,655.0,8,10,
1,5,256,65,sha3-512,8,ecdsa,fri,4,8,171,1629,2.56,628.6,8,10,
1,5,256,65,sha3-512,8,ecdsa,fri,8,8,171,1620,2.42,626.0,8,10,
1,5,256,65,sha3-512,8,mldsa_v2,fri,2,4,256,14647,1713.87,250076.0,NA,10,
1,5,256,65,sha3-512,8,mldsa_v2,fri,2,8,171,28082,1260.94,179574.3,NA,10,
1,5,256,65,sha3-512,8,mldsa_v2,fri,2,16,128,54721,1034.98,141236.9,NA,10,
2,1,128,40,sha3-256,6,rsa2048,fri,2,16,64,52819,2.95,571.5,4096,10,
2,1,128,40,sha3-256,6,rsa2048,fri,2,32,52,162954,2.70,525.6,4096,10,
2,1,128,40,sha3-256,6,rsa2048,fri,4,16,64,51380,1.70,426.9,4096,10,
2,1,128,40,sha3-256,6,rsa2048,fri,16,16,64,51674,1.39,467.2,4096,10,
2,1,128,40,sha3-256,6,mldsa_v2,fri,2,32,52,35663,182.83,33243.3,NA,10,
2,1,128,65,sha3-384,6,rsa2048,fri,2,16,64,52084,4.27,784.7,4096,10,
2,1,128,65,sha3-384,6,rsa2048,fri,2,32,52,164132,4.06,725.8,4096,10,
2,1,128,65,sha3-384,6,rsa2048,fri,4,16,64,52387,2.11,604.1,4096,10,
2,1,128,65,sha3-384,6,rsa2048,fri,16,16,64,51631,1.74,682.3,4096,10,
2,1,128,65,sha3-384,6,mldsa_v2,fri,2,32,52,37792,382.51,60079.3,NA,10,
2,1,128,90,sha3-512,6,rsa2048,fri,2,16,64,51962,5.97,998.0,4096,10,
2,1,128,90,sha3-512,6,rsa2048,fri,2,32,52,152443,5.47,925.9,4096,10,
2,1,128,90,sha3-512,6,rsa2048,fri,4,16,64,50874,3.11,781.2,4096,10,
2,1,128,90,sha3-512,6,rsa2048,fri,16,16,64,50513,2.68,897.4,4096,10,
2,1,128,90,sha3-512,6,mldsa_v2,fri,2,32,52,49845,686.38,97355.0,NA,10,
2,3,192,40,sha3-384,6,rsa2048,fri,2,16,96,50916,6.38,1176.2,4096,10,
2,3,192,40,sha3-384,6,rsa2048,fri,2,32,77,148260,5.99,1073.8,4096,10,
2,3,192,40,sha3-384,6,rsa2048,fri,4,16,96,50730,3.15,905.6,4096,10,
2,3,192,40,sha3-384,6,rsa2048,fri,16,16,96,51001,2.62,1022.8,4096,10,
2,3,192,40,sha3-384,6,mldsa_v2,fri,2,32,77,45914,404.63,64722.0,NA,10,
2,3,192,65,sha3-384,6,rsa2048,fri,2,16,96,50686,6.42,1176.2,4096,10,at-wall(bind=185<192)
2,3,192,65,sha3-384,6,rsa2048,fri,2,32,77,146964,5.75,1073.8,4096,10,at-wall(bind=185<192)
2,3,192,65,sha3-384,6,rsa2048,fri,4,16,96,50625,3.15,905.6,4096,10,at-wall(bind=185<192)
2,3,192,65,sha3-384,6,rsa2048,fri,16,16,96,50302,2.63,1022.8,4096,10,at-wall(bind=185<192)
2,3,192,65,sha3-384,6,mldsa_v2,fri,2,32,77,46125,402.40,64722.0,NA,10,at-wall(bind=185<192)
2,3,192,90,sha3-512,6,rsa2048,fri,2,16,96,51190,8.92,1496.0,4096,10,
